name,url,rookie_year,rookie_age,years_played
Andy Rautins,https://www.basketball-reference.com/players/r/rautian01.html,2011,24,1
Samardo Samuels,https://www.basketball-reference.com/players/s/samuesa01.html,2011,22,3
Larry Sanders,https://www.basketball-reference.com/players/s/sandela01.html,2011,22,6
Kevin Séraphin,https://www.basketball-reference.com/players/s/serapke01.html,2011,21,7
Mustafa Shakur,https://www.basketball-reference.com/players/s/shakumu01.html,2011,26,2
Garret Siler,https://www.basketball-reference.com/players/s/silerga01.html,2011,24,1
Ish Smith,https://www.basketball-reference.com/players/s/smithis01.html,2011,22,14
Tiago Splitter,https://www.basketball-reference.com/players/s/splitti01.html,2011,26,7
Lance Stephenson,https://www.basketball-reference.com/players/s/stephla01.html,2011,20,10
Pape Sy,https://www.basketball-reference.com/players/s/sypa01.html,2011,22,1
Evan Turner,https://www.basketball-reference.com/players/t/turneev01.html,2011,22,10
Ekpe Udoh,https://www.basketball-reference.com/players/u/udohek01.html,2011,23,7
Ben Uzoh,https://www.basketball-reference.com/players/u/uzohbe01.html,2011,22,2
Greivis Vásquez,https://www.basketball-reference.com/players/v/vasqugr01.html,2011,24,7
John Wall,https://www.basketball-reference.com/players/w/walljo01.html,2011,20,11
Willie Warren,https://www.basketball-reference.com/players/w/warrewi01.html,2011,21,1
Hassan Whiteside,https://www.basketball-reference.com/players/w/whiteha01.html,2011,21,10
Lavoy Allen,https://www.basketball-reference.com/players/a/allenla01.html,2012,22,6
Gustavo Ayón,https://www.basketball-reference.com/players/a/ayongu01.html,2012,26,3
Keith Benson,https://www.basketball-reference.com/players/b/bensoke02.html,2012,23,1
Bismack Biyombo,https://www.basketball-reference.com/players/b/biyombi01.html,2012,19,14
MarShon Brooks,https://www.basketball-reference.com/players/b/brookma01.html,2012,23,5
Alec Burks,https://www.basketball-reference.com/players/b/burksal01.html,2012,20,14
Jimmy Butler,https://www.basketball-reference.com/players/b/butleji01.html,2012,22,14
Derrick Byars,https://www.basketball-reference.com/players/b/byarsde01.html,2012,27,1
Norris Cole,https://www.basketball-reference.com/players/c/coleno01.html,2012,23,6
Eric Dawson,https://www.basketball-reference.com/players/d/dawsoer01.html,2012,27,1
Justin Dentmon,https://www.basketball-reference.com/players/d/dentmju01.html,2012,26,2
Jerome Dyson,https://www.basketball-reference.com/players/d/dysonje01.html,2012,24,1
Kenneth Faried,https://www.basketball-reference.com/players/f/farieke01.html,2012,22,8
Jeff Foote,https://www.basketball-reference.com/players/f/footeje01.html,2012,24,1
Courtney Fortson,https://www.basketball-reference.com/players/f/fortsco01.html,2012,23,1
Jimmer Fredette,https://www.basketball-reference.com/players/f/fredeji01.html,2012,22,6
Enes Freedom,https://www.basketball-reference.com/players/k/kanteen01.html,2012,19,11
Mickell Gladness,https://www.basketball-reference.com/players/g/gladnmi01.html,2012,25,1
Andrew Goudelock,https://www.basketball-reference.com/players/g/goudean01.html,2012,23,3
Jordan Hamilton,https://www.basketball-reference.com/players/h/hamiljo02.html,2012,21,5
Justin Harper,https://www.basketball-reference.com/players/h/harpeju01.html,2012,22,3
Josh Harrellson,https://www.basketball-reference.com/players/h/harrejo01.html,2012,22,3
Terrel Harris,https://www.basketball-reference.com/players/h/harrite01.html,2012,24,2
Tobias Harris,https://www.basketball-reference.com/players/h/harrito02.html,2012,19,14
Cory Higgins,https://www.basketball-reference.com/players/h/higgico01.html,2012,22,2
Darington Hobson,https://www.basketball-reference.com/players/h/hobsoda01.html,2012,24,1
Tyler Honeycutt,https://www.basketball-reference.com/players/h/honeyty01.html,2012,21,2
Dennis Horner,https://www.basketball-reference.com/players/h/hornede01.html,2012,23,1
Kyrie Irving,https://www.basketball-reference.com/players/i/irvinky01.html,2012,19,14
Reggie Jackson,https://www.basketball-reference.com/players/j/jacksre01.html,2012,21,14
Charles Jenkins,https://www.basketball-reference.com/players/j/jenkich01.html,2012,22,2
Carldell Johnson,https://www.basketball-reference.com/players/j/johnsca01.html,2012,29,1
Ivan Johnson,https://www.basketball-reference.com/players/j/johnsiv01.html,2012,27,2
JaJuan Johnson,https://www.basketball-reference.com/players/j/johnsja02.html,2012,22,1
Jerome Jordan,https://www.basketball-reference.com/players/j/jordaje01.html,2012,25,2
Cory Joseph,https://www.basketball-reference.com/players/j/josepco01.html,2012,20,14
D.J. Kennedy,https://www.basketball-reference.com/players/k/kennedj01.html,2012,22,1
Brandon Knight,https://www.basketball-reference.com/players/k/knighbr03.html,2012,20,9
Malcolm Lee,https://www.basketball-reference.com/players/l/leema01.html,2012,21,3
Kawhi Leonard,https://www.basketball-reference.com/players/l/leonaka01.html,2012,20,13
Travis Leslie,https://www.basketball-reference.com/players/l/leslitr01.html,2012,21,1
Jon Leuer,https://www.basketball-reference.com/players/l/leuerjo01.html,2012,22,8
DeAndre Liggins,https://www.basketball-reference.com/players/l/liggide01.html,2012,23,5
Shelvin Mack,https://www.basketball-reference.com/players/m/macksh01.html,2012,21,8
Vernon Macklin,https://www.basketball-reference.com/players/m/macklve01.html,2012,25,1
E'Twaun Moore,https://www.basketball-reference.com/players/m/mooreet01.html,2012,22,10
Darius Morris,https://www.basketball-reference.com/players/m/morrida01.html,2012,21,4
Marcus Morris,https://www.basketball-reference.com/players/m/morrima03.html,2012,22,13
Markieff Morris,https://www.basketball-reference.com/players/m/morrima02.html,2012,22,14
Daniel Orton,https://www.basketball-reference.com/players/o/ortonda01.html,2012,21,3
Jeremy Pargo,https://www.basketball-reference.com/players/p/pargoje01.html,2012,25,3
Chandler Parsons,https://www.basketball-reference.com/players/p/parsoch01.html,2012,23,9
Ryan Reid,https://www.basketball-reference.com/players/r/reidry01.html,2012,25,1
Ricky Rubio,https://www.basketball-reference.com/players/r/rubiori01.html,2012,21,12
Walker Russell,https://www.basketball-reference.com/players/r/russewa02.html,2012,29,1
Josh Selby,https://www.basketball-reference.com/players/s/selbyjo01.html,2012,20,2
Iman Shumpert,https://www.basketball-reference.com/players/s/shumpim01.html,2012,21,10
Xavier Silas,https://www.basketball-reference.com/players/s/silasxa01.html,2012,24,2
Chris Singleton,https://www.basketball-reference.com/players/s/singlch01.html,2012,22,3
Donald Sloan,https://www.basketball-reference.com/players/s/sloando01.html,2012,24,5
Greg Smith,https://www.basketball-reference.com/players/s/smithgr02.html,2012,21,5
Jerry Smith,https://www.basketball-reference.com/players/s/smithje01.html,2012,24,1
Nolan Smith,https://www.basketball-reference.com/players/s/smithno01.html,2012,23,2
Greg Stiemsma,https://www.basketball-reference.com/players/s/stiemgr01.html,2012,26,4
Julyan Stone,https://www.basketball-reference.com/players/s/stoneju01.html,2012,23,4
Isaiah Thomas,https://www.basketball-reference.com/players/t/thomais02.html,2012,22,12
Lance Thomas,https://www.basketball-reference.com/players/t/thomala01.html,2012,23,9
Malcolm Thomas,https://www.basketball-reference.com/players/t/thomama01.html,2012,23,4
Trey Thompkins,https://www.basketball-reference.com/players/t/thomptr02.html,2012,21,1
Klay Thompson,https://www.basketball-reference.com/players/t/thompkl01.html,2012,21,12
