name,url,rookie_year,rookie_age,years_played
Terrence Ross,https://www.basketball-reference.com/players/r/rosste01.html,2013,21,11
Jonas Valančiūnas,https://www.basketball-reference.com/players/v/valanjo01.html,2013,20,13
Steven Adams,https://www.basketball-reference.com/players/a/adamsst01.html,2014,20,11
Giannis Antetokounmpo,https://www.basketball-reference.com/players/a/antetgi01.html,2014,19,12
Reggie Bullock,https://www.basketball-reference.com/players/b/bullore01.html,2014,22,11
Kentavious Caldwell-Pope,https://www.basketball-reference.com/players/c/caldwke01.html,2014,20,12
Robert Covington,https://www.basketball-reference.com/players/c/covinro01.html,2014,23,11
Seth Curry,https://www.basketball-reference.com/players/c/curryse01.html,2014,23,11
Dewayne Dedmon,https://www.basketball-reference.com/players/d/dedmode01.html,2014,24,10
Gorgui Dieng,https://www.basketball-reference.com/players/d/dienggo01.html,2014,24,10
Rudy Gobert,https://www.basketball-reference.com/players/g/goberru01.html,2014,21,12
Tim Hardaway Jr.,https://www.basketball-reference.com/players/h/hardati02.html,2014,21,12
Alex Len,https://www.basketball-reference.com/players/l/lenal01.html,2014,20,12
CJ McCollum,https://www.basketball-reference.com/players/m/mccolcj01.html,2014,22,12
Mike Muscala,https://www.basketball-reference.com/players/m/muscami01.html,2014,22,11
Victor Oladipo,https://www.basketball-reference.com/players/o/oladivi01.html,2014,21,10
Kelly Olynyk,https://www.basketball-reference.com/players/o/olynyke01.html,2014,22,12
Mason Plumlee,https://www.basketball-reference.com/players/p/plumlma01.html,2014,23,12
Otto Porter Jr.,https://www.basketball-reference.com/players/p/porteot01.html,2014,20,11
Dennis Schröder,https://www.basketball-reference.com/players/s/schrode01.html,2014,20,12
Cody Zeller,https://www.basketball-reference.com/players/z/zelleco01.html,2014,21,11
Kyle Anderson,https://www.basketball-reference.com/players/a/anderky01.html,2015,21,11
Bojan Bogdanović,https://www.basketball-reference.com/players/b/bogdabo02.html,2015,25,10
Clint Capela,https://www.basketball-reference.com/players/c/capelca01.html,2015,20,11
Jordan Clarkson,https://www.basketball-reference.com/players/c/clarkjo01.html,2015,22,11
Spencer Dinwiddie,https://www.basketball-reference.com/players/d/dinwisp01.html,2015,21,11
Aaron Gordon,https://www.basketball-reference.com/players/g/gordoaa01.html,2015,19,11
Jerami Grant,https://www.basketball-reference.com/players/g/grantje01.html,2015,20,11
Gary Harris,https://www.basketball-reference.com/players/h/harriga01.html,2015,20,11
Joe Harris,https://www.basketball-reference.com/players/h/harrijo01.html,2015,23,10
Joe Ingles,https://www.basketball-reference.com/players/i/inglejo01.html,2015,27,11
Zach LaVine,https://www.basketball-reference.com/players/l/lavinza01.html,2015,19,11
Doug McDermott,https://www.basketball-reference.com/players/m/mcderdo01.html,2015,23,11
Jusuf Nurkić,https://www.basketball-reference.com/players/n/nurkiju01.html,2015,20,11
Dwight Powell,https://www.basketball-reference.com/players/p/poweldw01.html,2015,23,11
Julius Randle,https://www.basketball-reference.com/players/r/randlju01.html,2015,20,11
Marcus Smart,https://www.basketball-reference.com/players/s/smartma01.html,2015,20,11
Andrew Wiggins,https://www.basketball-reference.com/players/w/wiggian01.html,2015,19,11
Devin Booker,https://www.basketball-reference.com/players/b/bookede01.html,2016,19,10
Pat Connaughton,https://www.basketball-reference.com/players/c/connapa01.html,2016,23,10
Richaun Holmes,https://www.basketball-reference.com/players/h/holmeri01.html,2016,22,10
Nikola Jokić,https://www.basketball-reference.com/players/j/jokicni01.html,2016,20,10
Tyus Jones,https://www.basketball-reference.com/players/j/jonesty01.html,2016,19,10
Kevon Looney,https://www.basketball-reference.com/players/l/looneke01.html,2016,19,10
Trey Lyles,https://www.basketball-reference.com/players/l/lylestr01.html,2016,20,10
T.J. McConnell,https://www.basketball-reference.com/players/m/mccontj01.html,2016,23,10
Larry Nance Jr.,https://www.basketball-reference.com/players/n/nancela02.html,2016,23,10
Kelly Oubre Jr.,https://www.basketball-reference.com/players/o/oubreke01.html,2016,20,10
Cameron Payne,https://www.basketball-reference.com/players/p/payneca01.html,2016,21,10
Bobby Portis,https://www.basketball-reference.com/players/p/portibo01.html,2016,20,10
Norman Powell,https://www.basketball-reference.com/players/p/powelno01.html,2016,22,10
Josh Richardson,https://www.basketball-reference.com/players/r/richajo01.html,2016,22,10
Terry Rozier,https://www.basketball-reference.com/players/r/roziete01.html,2016,21,10
D'Angelo Russell,https://www.basketball-reference.com/players/r/russeda01.html,2016,19,10
Karl-Anthony Towns,https://www.basketball-reference.com/players/t/townska01.html,2016,20,10
Myles Turner,https://www.basketball-reference.com/players/t/turnemy01.html,2016,19,10
Delon Wright,https://www.basketball-reference.com/players/w/wrighde01.html,2016,23,10
